fault_id,center_x,center_y,center_z,major_axis,minor_axis,major_axis_angle,strike,dip,material_id,n_points_original,n_points_unique,n_cells,sv1,sv2,sv3,planarity_ratio_sv3_over_sv1,surface_area,x_min,x_max,y_min,y_max,z_min,z_max
F10_clipped,245713.115637,3291623.131461,3597.969385,4064.023519,821.488622,84.600591,80.247430,89.972902,1,3134,3134,3134,101796.641673,16784.152172,142.958508,0.001404,0.000000,245295.796875,246234.796875,3291549.000000,3291716.000000,-3156.810059,4934.406738
F11a_clipped,245457.961813,3290550.766541,4120.056703,599.921518,477.761347,87.487867,56.283994,80.770000,1,1723,1723,1723,13992.443396,10991.412679,0.000753,0.000000,0.000000,245033.359375,245893.359375,3290230.250000,3290870.250000,3551.541260,4713.621094
F11b_clipped,246057.309158,3290823.203269,4113.896096,533.198414,274.432915,88.893922,82.939603,80.770000,1,87357,87357,87357,87755.177622,45219.165455,0.005338,0.000000,0.000000,245786.968750,246331.968750,3290710.000000,3290934.000000,3606.637939,4650.003906
F3_clipped,245619.253590,3291286.120527,4206.401703,934.788975,655.513416,4.111916,172.437455,82.922301,1,2655,2655,2655,26544.420984,17911.235728,0.000745,0.000000,0.000000,245442.718750,245812.718750,3290370.000000,3292160.000000,3610.103760,4858.472656
F5_North_clipped,246361.785754,3293738.601901,2094.856612,2846.271578,728.576313,88.470314,5.709319,71.001402,1,25483,25483,25483,251520.827397,66113.367701,30.805185,0.000122,0.000000,245388.578125,247248.578125,3293040.750000,3294460.750000,-669.506653,4718.227539
F5_South_clipped,245953.528096,3290449.284104,3785.856549,1119.343125,528.226577,79.964778,21.511044,72.265271,1,5989,5989,5989,45483.947155,21585.627453,153.123069,0.003367,0.000000,245434.453125,246464.453125,3290002.500000,3290902.500000,2827.530029,4795.045898
F5_clipped,245983.025968,3292023.268276,3798.432753,1428.384041,1137.184413,7.259370,168.517237,75.337725,1,12804,12804,12804,83206.962452,66087.340606,3549.991700,0.042665,0.000000,245383.625000,246453.625000,3290799.250000,3293229.250000,2762.436035,4785.076172
F8_clipped,245583.800741,3292294.618557,4174.332785,970.990871,638.589762,8.825064,73.102781,81.210632,1,3104,3104,3104,28991.456747,18229.995581,0.000985,0.000000,0.000000,244744.609375,246504.609375,3291970.250000,3292620.250000,3612.427002,4856.136230
F9a_clipped,245207.876220,3291665.713290,3884.950988,1414.243260,1075.943496,7.224250,79.000000,65.061000,1,21520,21520,21520,109807.290478,82861.210098,0.006377,0.000000,0.000000,243883.765625,246593.765625,3291025.500000,3292215.500000,2996.516357,4837.164551
F9b_clipped,245929.495076,3292001.488170,3834.487134,1125.513501,812.808253,81.957589,38.000000,72.000000,1,8326,8326,8326,51429.226222,36593.366920,0.002855,0.000000,0.000000,245246.000000,246606.000000,3291286.750000,3292716.750000,2916.902588,4907.137207
