fault_id,center_x,center_y,center_z,major_axis,minor_axis,major_axis_angle,strike,dip,material_id
F10_clipped,245713.115637,3291623.131461,3597.969385,4064.023519,821.488622,84.600591,80.247430,89.972902,8
F11a_clipped,245457.961813,3290550.766541,4120.056703,599.921518,477.761347,87.487867,56.283994,80.770000,9
F11b_clipped,246057.309158,3290823.203269,4113.896096,533.198414,274.432915,88.893922,82.939603,80.770000,10
F3_clipped,245619.253590,3291286.120527,4206.401703,934.788975,655.513416,4.111916,352.437455,82.922301,1
F5_North_clipped,246361.785754,3293738.601901,2094.856612,2846.271578,728.576313,88.470314,5.709319,71.001402,2
F5_South_clipped,245953.528096,3290449.284104,3785.856549,1119.343125,528.226577,79.964778,21.511044,72.265271,4
F5_clipped,245983.025968,3292023.268276,3798.432753,1428.384041,1137.184413,7.259370,348.517237,75.337725,3
F8_clipped,245583.800741,3292294.618557,4174.332785,970.990871,638.589762,8.825064,73.102781,81.210632,5
F9a_clipped,245207.876220,3291665.713290,3884.950988,1414.243260,1075.943496,7.224250,79.000000,65.061000,6
F9b_clipped,245929.495076,3292001.488170,3834.487134,1125.513501,812.808253,81.957589,38.000000,72.000000,7
